Surname;Name;Patronymic;Street;House;Home Number;Work Number;Mobile Number
Иванов;Андрей;Сергеевич;Центральная;1;+71234567812;+71112223347;+79998887723
Петрова;Елена;Александровна;Пушкина;10;+79876543298;+75556667765;+77788899751
Смирнов;Максим;Игоревич;Ленина;5;+71113334455;+72224445584;+73335556629
Кузнецова;Ольга;Дмитриевна;Гагарина;15;+75556667787;+74443332218;+76667778893
Васильев;Алексей;Владимирович;Советская;20;+79998887794;+77776665510;+78885554417
Морозова;Наталья;Андреевна;Речная;7;+71112223356;+78889990063;+77774443392
Новикова;Анна;Ивановна;Мира;3;+72223334431;+76667778812;+75554443340
Козлов;Сергей;Петрович;Солнечная;25;+75554443336;+73332221190;+75558887771
Лебедева;Екатерина;Николаевна;Жуковского;12;+77776665567;+75554443310;+77774443378
Соколов;Денис;Федорович;Московская;8;+78889990020;+76667775583;+73332221181
Попов;Евгений;Алексеевич;Центральная;6;+73332221161;+77788899147;+75554443360
Козлова;Александра;Игоревна;Пушкина;2;+74445556633;+73332221110;+76667775592
Волков;Дмитрий;Олегович;Ленина;11;+76667778821;+74443332275;+77788899847
Семенова;Татьяна;Сергеевна;Гагарина;9;+72221110066;+77788899253;+78889990042
Медведева;Мария;Павловна;Советская;4;+79998887768;+73332221161;+71115554439
Егорова;Ирина;Алексеевна;Речная;14;+77776665555;+75554443367;+72223334415
Павлов;Артем;Александрович;Мира;17;+78887776679;+74443332216;+73334445530
Козлов;Владислав;Вячеславович;Солнечная;19;+71112223384;+77788899279;+74445556685
Алексеева;Оксана;Геннадьевна;Жукова;22;+75556667728;+78889990039;+75557774457
Сергеева;Кристина;Васильевна;Московская;30;+79998887705;+71112223328;+74445556696
